,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,22.0626828780555,22.0626828780555,0,NaN,NaN,NaN,0,72,
,A02,SYBR,,Unkn,,,21.1213654546645,21.1213654546645,0,NaN,NaN,NaN,0,72,
,A03,SYBR,,Unkn,,,22.1077353299575,22.1077353299575,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,,,21.0420009700844,21.0420009700844,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,,,20.6657989825918,20.6657989825918,0,NaN,NaN,NaN,0,72,
,A06,SYBR,,Unkn,,,21.9825261999759,21.9825261999759,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,,,20.7952578725828,20.7952578725828,0,NaN,NaN,NaN,0,72,
,A08,SYBR,,Unkn,,,20.5597860928371,20.5597860928371,0,NaN,NaN,NaN,0,72,
,A09,SYBR,,Unkn,,,21.0316509135122,21.0316509135122,0,NaN,NaN,NaN,0,72,
,A10,SYBR,,Unkn,,,22.4327975041119,22.4327975041119,0,NaN,NaN,NaN,0,72,
,A11,SYBR,,Unkn,,,22.573760512772,22.573760512772,0,NaN,NaN,NaN,0,72,
,A12,SYBR,,Unkn,,,22.5432992833024,22.5432992833024,0,NaN,NaN,NaN,0,72,
,B01,SYBR,,Unkn,,,21.9633492767872,21.9633492767872,0,NaN,NaN,NaN,0,72,
,B02,SYBR,,Unkn,,,21.0638566644229,21.0638566644229,0,NaN,NaN,NaN,0,72,
,B03,SYBR,,Unkn,,,22.0785737239065,22.0785737239065,0,NaN,NaN,NaN,0,72,
,B04,SYBR,,Unkn,,,20.9923013515689,20.9923013515689,0,NaN,NaN,NaN,0,72,
,B05,SYBR,,Unkn,,,20.8797132097192,20.8797132097192,0,NaN,NaN,NaN,0,72,
,B06,SYBR,,Unkn,,,22.0150047276104,22.0150047276104,0,NaN,NaN,NaN,0,72,
,B07,SYBR,,Unkn,,,20.8711099969283,20.8711099969283,0,NaN,NaN,NaN,0,72,
,B08,SYBR,,Unkn,,,20.7035298172051,20.7035298172051,0,NaN,NaN,NaN,0,72,
,B09,SYBR,,Unkn,,,21.020818908817,21.020818908817,0,NaN,NaN,NaN,0,72,
,B10,SYBR,,Unkn,,,22.5034631778639,22.5034631778639,0,NaN,NaN,NaN,0,72,
,B11,SYBR,,Unkn,,,22.3787293441301,22.3787293441301,0,NaN,NaN,NaN,0,72,
,B12,SYBR,,Unkn,,,22.4219473755621,22.4219473755621,0,NaN,NaN,NaN,0,72,
,C01,SYBR,,Unkn,,,22.1105793818435,22.1105793818435,0,NaN,NaN,NaN,0,72,
,C02,SYBR,,Unkn,,,21.0876711880754,21.0876711880754,0,NaN,NaN,NaN,0,72,
,C03,SYBR,,Unkn,,,21.9985220159537,21.9985220159537,0,NaN,NaN,NaN,0,72,
,C04,SYBR,,Unkn,,,20.9362918295065,20.9362918295065,0,NaN,NaN,NaN,0,72,
,C05,SYBR,,Unkn,,,20.7666937260059,20.7666937260059,0,NaN,NaN,NaN,0,72,
,C06,SYBR,,Unkn,,,21.8954987044531,21.8954987044531,0,NaN,NaN,NaN,0,72,
,C07,SYBR,,Unkn,,,21.0526903666719,21.0526903666719,0,NaN,NaN,NaN,0,72,
,C08,SYBR,,Unkn,,,20.6353041120968,20.6353041120968,0,NaN,NaN,NaN,0,72,
,C09,SYBR,,Unkn,,,21.1580809812311,21.1580809812311,0,NaN,NaN,NaN,0,72,
,C10,SYBR,,Unkn,,,22.5134158639007,22.5134158639007,0,NaN,NaN,NaN,0,72,
,C11,SYBR,,Unkn,,,22.330887961168,22.330887961168,0,NaN,NaN,NaN,0,72,
,C12,SYBR,,Unkn,,,22.404730749419,22.404730749419,0,NaN,NaN,NaN,0,72,
,D01,SYBR,,Unkn,,,29.0087955459999,29.0087955459999,0,NaN,NaN,NaN,0,72,
,D02,SYBR,,Unkn,,,22.7217031579612,22.7217031579612,0,NaN,NaN,NaN,0,72,
,D03,SYBR,,Unkn,,,22.8096098537434,22.8096098537434,0,NaN,NaN,NaN,0,72,
,D04,SYBR,,Unkn,,,27.9204138180692,27.9204138180692,0,NaN,NaN,NaN,0,72,
,D05,SYBR,,Unkn,,,22.4233631143959,22.4233631143959,0,NaN,NaN,NaN,0,72,
,D06,SYBR,,Unkn,,,23.0689731394378,23.0689731394378,0,NaN,NaN,NaN,0,72,
,D07,SYBR,,Unkn,,,28.7127197294938,28.7127197294938,0,NaN,NaN,NaN,0,72,
,D08,SYBR,,Unkn,,,26.6342513549263,26.6342513549263,0,NaN,NaN,NaN,0,72,
,D09,SYBR,,Unkn,,,26.4303656828451,26.4303656828451,0,NaN,NaN,NaN,0,72,
,D10,SYBR,,Unkn,,,26.0680119270519,26.0680119270519,0,NaN,NaN,NaN,0,72,
,D11,SYBR,,Unkn,,,21.4498612081693,21.4498612081693,0,NaN,NaN,NaN,0,72,
,D12,SYBR,,Unkn,,,21.237733510075,21.237733510075,0,NaN,NaN,NaN,0,72,
,E01,SYBR,,Unkn,,,28.7768489677253,28.7768489677253,0,NaN,NaN,NaN,0,72,
,E02,SYBR,,Unkn,,,22.6869519664494,22.6869519664494,0,NaN,NaN,NaN,0,72,
,E03,SYBR,,Unkn,,,22.7109749069929,22.7109749069929,0,NaN,NaN,NaN,0,72,
,E04,SYBR,,Unkn,,,27.9374725548689,27.9374725548689,0,NaN,NaN,NaN,0,72,
,E05,SYBR,,Unkn,,,22.3305382632101,22.3305382632101,0,NaN,NaN,NaN,0,72,
,E06,SYBR,,Unkn,,,23.1060513710597,23.1060513710597,0,NaN,NaN,NaN,0,72,
,E07,SYBR,,Unkn,,,28.785821228849,28.785821228849,0,NaN,NaN,NaN,0,72,
,E08,SYBR,,Unkn,,,26.6816182923555,26.6816182923555,0,NaN,NaN,NaN,0,72,
,E09,SYBR,,Unkn,,,26.380238728252,26.380238728252,0,NaN,NaN,NaN,0,72,
,E10,SYBR,,Unkn,,,26.0303100603531,26.0303100603531,0,NaN,NaN,NaN,0,72,
,E11,SYBR,,Unkn,,,21.3107604062817,21.3107604062817,0,NaN,NaN,NaN,0,72,
,E12,SYBR,,Unkn,,,21.2085087131666,21.2085087131666,0,NaN,NaN,NaN,0,72,
,F01,SYBR,,Unkn,,,29.0063090082461,29.0063090082461,0,NaN,NaN,NaN,0,72,
,F02,SYBR,,Unkn,,,22.7544995491598,22.7544995491598,0,NaN,NaN,NaN,0,72,
,F03,SYBR,,Unkn,,,22.8516240071621,22.8516240071621,0,NaN,NaN,NaN,0,72,
,F04,SYBR,,Unkn,,,28.0147718533772,28.0147718533772,0,NaN,NaN,NaN,0,72,
,F05,SYBR,,Unkn,,,22.5054552811928,22.5054552811928,0,NaN,NaN,NaN,0,72,
,F06,SYBR,,Unkn,,,23.1294498597105,23.1294498597105,0,NaN,NaN,NaN,0,72,
