sample_name,treatment,control,rep,gene,num,neg_score,neg_p_value,neg_fdr,neg_rank,neg_goodsgrna,pos_score,pos_p_value,pos_fdr,pos_rank,pos_goodsgrna,lfc,p_value,fdr,goodsgrna,annotation
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ASCC3,4,1,1,NA,2186,0,6.2358e-12,2.2646e-6,1.49e-4,1,4,0.61798,2.2646e-6,1.49e-4,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EIF5A,4,0.99032,0.99033,NA,2108,0,7.4199e-9,2.2646e-6,1.49e-4,2,3,0.74754,2.2646e-6,1.49e-4,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EEF2,4,1,1,NA,2185,0,5.6139e-8,2.2646e-6,1.49e-4,3,4,0.39575,2.2646e-6,1.49e-4,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NCBP1,4,1,1,NA,2184,0,4.9412e-7,2.2646e-6,1.49e-4,4,4,0.50721,2.2646e-6,1.49e-4,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,EIF1AX,4,0.99985,0.99985,NA,2177,0,9.2406e-7,2.2646e-6,1.49e-4,5,4,0.47567,2.2646e-6,1.49e-4,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SUPT6H,4,0.69886,0.71076,NA,1151,1,7.8947e-6,3.397e-5,0.001857,6,3,0.52248000000000006,3.397e-5,0.001857,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,CPSF3,4,0.84967,0.84922,NA,1584,0,4.5235e-5,1.472e-4,0.006897,7,3,0.49114,1.472e-4,0.006897,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DUS1L,4,0.99994,0.99995,NA,2183,0,6.313e-5,2.1967e-4,0.009006,8,4,0.35043,2.1967e-4,0.009006,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DHX35,3,0.99581,0.99604,NA,2144,0,6.3937e-5,2.6496e-4,0.009656,9,3,0.32773,2.6496e-4,0.009656,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TFIP11,4,0.99991,0.99993,NA,2182,0,8.676e-5,3.1026e-4,0.009842,10,4,0.19422,3.1026e-4,0.009842,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,METAP2,4,0.99272,0.99271,NA,2124,0,9.178e-5,3.329e-4,0.009842,11,4,0.22468,3.329e-4,0.009842,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZNF207,4,0.9999,0.99992,NA,2181,0,9.916e-5,3.6008e-4,0.009842,12,4,0.39545,3.6008e-4,0.009842,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,KRAS,4,0.99989,0.99989,NA,2180,0,1.1439e-4,4.099e-4,0.010342,13,4,0.24124,4.099e-4,0.010342,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,CHERP,4,0.99987,0.99987,NA,2179,0,1.342e-4,5.186e-4,0.01215,14,4,0.24314,5.186e-4,0.01215,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,CPSF2,4,0.99985,0.99986,NA,2178,0,1.4752e-4,5.7295e-4,0.012393,15,4,0.35089,5.7295e-4,0.012393,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TCERG1,4,0.9995,0.9995,NA,2171,0,1.5015e-4,6.0466e-4,0.012393,16,4,0.26822,6.0466e-4,0.012393,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SRSF2,4,0.99116,0.99111,NA,2116,0,1.6124e-4,6.4542e-4,0.012393,17,4,0.33644,6.4542e-4,0.012393,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NUDT21,4,0.99982,0.99983,NA,2176,0,1.7925e-4,7.043e-4,0.012393,18,4,0.25449,7.043e-4,0.012393,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PABPN1,4,0.99982,0.99983,NA,2175,0,1.8144e-4,7.1789e-4,0.012393,19,4,0.31606,7.1789e-4,0.012393,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,DCPS,4,0.97807,0.97839,NA,2054,0,2.3409e-4,9.8512e-4,NA,20,2,0.088582,9.8512e-4,1,2,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZC3H18,4,0.99973,0.99975,NA,2174,0,2.7139e-4,0.0011346,0.017672,21,4,0.25618,0.0011346,0.017672,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,H4C4,4,0.99972,0.99973,NA,2173,0,2.8449e-4,0.0011708,0.017672,22,4,0.16751,0.0011708,0.017672,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,PNISR,4,0.99087,0.99086,NA,2114,0,2.9106e-4,0.0011935,0.017672,23,4,0.25041,0.0011935,0.017672,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,GTPBP3,4,0.99878,0.99895,NA,2164,0,3.1064e-4,0.001275,0.017672,24,4,0.20039,0.001275,0.017672,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,CDV3,4,0.96173,0.96227,NA,1980,0,3.1801e-4,0.0012931,0.017672,25,3,0.16711,0.0012931,0.017672,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZNF106,4,0.9996,0.99961,NA,2172,0,4.031e-4,0.0016102,0.021125,26,4,0.25864,0.0016102,0.021125,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,UBAP2L,4,0.9966,0.9967,NA,2153,0,4.1859e-4,0.0016826,0.021227,27,4,0.24697,0.0016826,0.021227,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,TENT5A,4,0.98136,0.98159,NA,2071,0,6.3504e-4,0.0024752,0.03007,28,3,0.24252,0.0024752,0.03007,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZC3H8,4,0.9993,0.99935,NA,2170,0,6.9983e-4,0.0026655,0.031224,29,4,0.17367,0.0026655,0.031224,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,NKTR,4,0.99918,0.99927,NA,2169,0,8.2192e-4,0.003132,0.035424,30,4,0.16501,0.003132,0.035424,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,GTPBP1,4,0.99914,0.99926,NA,2168,0,8.6125e-4,0.0033403,0.036521,31,4,0.2542,0.0033403,0.036521,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,MEX3A,4,0.99909,0.99924,NA,2167,0,9.0685e-4,0.0035079,0.037116,32,4,0.2093,0.0035079,0.037116,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,SRRT,4,0.99266,0.99266,NA,2123,0,9.8616e-4,0.0038318,0.038873,33,4,0.45664,0.0038318,0.038873,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,ZFP36L1,4,0.99899,0.99915,NA,2166,0,0.0010061,0.003911,0.038873,34,4,0.18822,0.003911,0.038873,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,CPSF4,4,0.80521,0.804,NA,1427,0,0.0011522,0.0044228,0.041533,35,3,0.16225,0.0044228,0.041533,3,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,GTPBP2,4,0.99885,0.99904,NA,2165,0,0.0011538,0.0044319,0.041533,36,4,0.13415,0.0044319,0.041533,4,7 Other
ntc_polysome_bc1_heavy_rep1_vs_ntc_polysome_bc1_mono_rep1,heavy,mono,rep1,IBA57,4,0.78747,0.78675,NA,1372,1,0.0013031,0.0049845,0.045414,37,3,0.18842,0.0049845,0.045414,3,7 Other
