go_term,description,fdr_q_value,ontology,direction,enrichment
GO:0006364,rRNA processing,1.9199999999999997e-52,Process,Down,4.08
GO:0019083,viral transcription,1.28e-51,Process,Down,6.09
GO:0016072,rRNA metabolic process,1.27e-50,Process,Down,3.90
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,3.49e-50,Process,Down,6.01
GO:0006413,translational initiation,1.03e-49,Process,Down,6.16
GO:0006613,cotranslational protein targeting to membrane,9.43e-49,Process,Down,5.88
GO:0070972,protein localization to endoplasmic reticulum,4.66e-48,Process,Down,5.81
GO:0072599,establishment of protein localization to endoplasmic reticulum,4.0799999999999996e-48,Process,Down,5.81
GO:0045047,protein targeting to ER,3.6299999999999994e-48,Process,Down,5.81
GO:0006612,protein targeting to membrane,1.7799999999999998e-47,Process,Down,5.75
GO:0090150,establishment of protein localization to membrane,2.25e-44,Process,Down,5.41
GO:0006605,protein targeting,1.2199999999999999e-42,Process,Down,5.25
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",8.48e-40,Process,Down,4.60
GO:0072657,protein localization to membrane,5.1599999999999997e-39,Process,Down,4.91
GO:0072594,establishment of protein localization to organelle,1.42e-36,Process,Down,4.38
GO:0006886,intracellular protein transport,2.18e-33,Process,Down,5.60
GO:0033365,protein localization to organelle,1.04e-31,Process,Down,5.78
GO:0000956,nuclear-transcribed mRNA catabolic process,5.78e-30,Process,Down,3.41
GO:0042886,amide transport,2.18e-28,Process,Down,4.70
GO:0015031,protein transport,2.07e-28,Process,Down,4.70
GO:0015833,peptide transport,1.9699999999999999e-28,Process,Down,4.70
GO:0034613,cellular protein localization,5.75e-28,Process,Down,5.09
GO:0045184,establishment of protein localization,1.7700000000000002e-27,Process,Down,4.55
GO:0033036,macromolecule localization,2.5800000000000004e-27,Process,Down,4.01
GO:0070727,cellular macromolecule localization,6.330000000000001e-27,Process,Down,4.91
GO:0006412,translation,7.6e-27,Process,Down,5.42
GO:0043043,peptide biosynthetic process,1.5600000000000002e-26,Process,Down,5.36
GO:0006402,mRNA catabolic process,5.02e-26,Process,Down,3.12
GO:0034470,ncRNA processing,1.8299999999999999e-25,Process,Down,2.49
GO:0043604,amide biosynthetic process,1.79e-25,Process,Down,5.15
GO:0044265,cellular macromolecule catabolic process,2.09e-25,Process,Down,2.69
GO:0006518,peptide metabolic process,2.39e-25,Process,Down,5.12
GO:0009057,macromolecule catabolic process,5.42e-25,Process,Down,2.57
GO:0008104,protein localization,2.4199999999999998e-24,Process,Down,3.95
GO:0016032,viral process,2.63e-24,Process,Down,3.46
GO:0044403,symbiont process,2.5499999999999998e-24,Process,Down,3.46
GO:0043603,cellular amide metabolic process,4.42e-24,Process,Down,4.87
GO:0006401,RNA catabolic process,1.71e-22,Process,Down,2.83
GO:0044419,interspecies interaction between organisms,2.9e-22,Process,Down,3.19
GO:1901566,organonitrogen compound biosynthetic process,4.45e-21,Process,Down,4.34
GO:0044085,cellular component biogenesis,4.44e-20,Process,Down,6.04
GO:0022613,ribonucleoprotein complex biogenesis,4.33e-20,Process,Down,6.04
GO:0046907,intracellular transport,5.12e-20,Process,Down,3.44
GO:0071705,nitrogen compound transport,6.89e-20,Process,Down,3.37
GO:0034660,ncRNA metabolic process,9.93e-20,Process,Down,2.12
GO:0071702,organic substance transport,5.04e-19,Process,Down,3.27
GO:0051649,establishment of localization in cell,1.54e-18,Process,Down,3.26
GO:0002181,cytoplasmic translation,5.93e-18,Process,Down,13.32
GO:1901575,organic substance catabolic process,6.13e-18,Process,Down,2.19
GO:0034655,nucleobase-containing compound catabolic process,9.81e-18,Process,Down,2.50
GO:0019439,aromatic compound catabolic process,9.62e-18,Process,Down,2.50
GO:1901361,organic cyclic compound catabolic process,1.37e-17,Process,Down,2.49
GO:0046700,heterocycle catabolic process,1.34e-17,Process,Down,2.49
GO:0044270,cellular nitrogen compound catabolic process,3.93e-17,Process,Down,2.46
GO:0051641,cellular localization,6.1e-17,Process,Down,2.93
