sample_id,sample_name,seqnames,start,end,width,strand,score,gene_name,gene_id,query
226p1,sgAQR,3,102000000,102000000,4,*,0.0207,RPL24,ENSG00000114391,1
226p1,sgAQR,3,102000000,102000000,4,*,0.0207,RPL24,ENSG00000114391,1
226p1,sgAQR,3,102000000,102000000,4,*,0.0207,RPL24,ENSG00000114391,1
226p1,sgAQR,3,102000000,102000000,4,*,0.0207,RPL24,ENSG00000114391,1
226p1,sgAQR,3,102000000,102000000,1,*,0.0848,RPL24,ENSG00000114391,2
226p1,sgAQR,3,102000000,102000000,1,*,0.746,RPL24,ENSG00000114391,3
226p1,sgAQR,3,102000000,102000000,3,*,0.81,RPL24,ENSG00000114391,4
226p1,sgAQR,3,102000000,102000000,3,*,0.81,RPL24,ENSG00000114391,4
226p1,sgAQR,3,102000000,102000000,3,*,0.81,RPL24,ENSG00000114391,4
226p1,sgAQR,3,102000000,102000000,1,*,0.867,RPL24,ENSG00000114391,5
226p1,sgAQR,3,102000000,102000000,1,*,0.882,RPL24,ENSG00000114391,6
226p1,sgAQR,3,102000000,102000000,1,*,0.901,RPL24,ENSG00000114391,7
226p1,sgAQR,3,102000000,102000000,1,*,0.961,RPL24,ENSG00000114391,8
226p1,sgAQR,3,102000000,102000000,1,*,0.993,RPL24,ENSG00000114391,9
226p1,sgAQR,3,102000000,102000000,2,*,0.995,RPL24,ENSG00000114391,10
226p1,sgAQR,3,102000000,102000000,2,*,0.995,RPL24,ENSG00000114391,10
226p1,sgAQR,3,102000000,102000000,1,*,1,RPL24,ENSG00000114391,11
226p1,sgAQR,3,102000000,102000000,4,*,1.08,RPL24,ENSG00000114391,12
226p1,sgAQR,3,102000000,102000000,4,*,1.08,RPL24,ENSG00000114391,12
226p1,sgAQR,3,102000000,102000000,4,*,1.08,RPL24,ENSG00000114391,12
226p1,sgAQR,3,102000000,102000000,4,*,1.08,RPL24,ENSG00000114391,12
226p1,sgAQR,3,102000000,102000000,3,*,1.09,RPL24,ENSG00000114391,13
226p1,sgAQR,3,102000000,102000000,3,*,1.09,RPL24,ENSG00000114391,13
226p1,sgAQR,3,102000000,102000000,3,*,1.09,RPL24,ENSG00000114391,13
226p1,sgAQR,3,102000000,102000000,2,*,1.11,RPL24,ENSG00000114391,14
226p1,sgAQR,3,102000000,102000000,2,*,1.11,RPL24,ENSG00000114391,14
226p1,sgAQR,3,102000000,102000000,3,*,1.14,RPL24,ENSG00000114391,15
226p1,sgAQR,3,102000000,102000000,3,*,1.14,RPL24,ENSG00000114391,15
226p1,sgAQR,3,102000000,102000000,3,*,1.14,RPL24,ENSG00000114391,15
226p1,sgAQR,3,102000000,102000000,2,*,1.18,RPL24,ENSG00000114391,16
226p1,sgAQR,3,102000000,102000000,2,*,1.18,RPL24,ENSG00000114391,16
226p1,sgAQR,3,102000000,102000000,1,*,1.32,RPL24,ENSG00000114391,17
226p1,sgAQR,3,102000000,102000000,3,*,1.33,RPL24,ENSG00000114391,18
226p1,sgAQR,3,102000000,102000000,3,*,1.33,RPL24,ENSG00000114391,18
226p1,sgAQR,3,102000000,102000000,3,*,1.33,RPL24,ENSG00000114391,18
226p1,sgAQR,3,102000000,102000000,1,*,1.36,RPL24,ENSG00000114391,19
226p1,sgAQR,3,102000000,102000000,1,*,1.66,RPL24,ENSG00000114391,20
226p1,sgAQR,3,102000000,102000000,1,*,1.81,RPL24,ENSG00000114391,21
226p1,sgAQR,3,102000000,102000000,1,*,2.55,RPL24,ENSG00000114391,22
226p1,sgAQR,3,102000000,102000000,1,*,2.69,RPL24,ENSG00000114391,23
226p1,sgAQR,3,102000000,102000000,2,*,2.75,RPL24,ENSG00000114391,24
226p1,sgAQR,3,102000000,102000000,2,*,2.75,RPL24,ENSG00000114391,24
226p1,sgAQR,3,102000000,102000000,1,*,2.95,RPL24,ENSG00000114391,25
226p1,sgAQR,3,102000000,102000000,1,*,2.98,RPL24,ENSG00000114391,26
226p1,sgAQR,3,102000000,102000000,1,*,3.05,RPL24,ENSG00000114391,27
226p1,sgAQR,3,102000000,102000000,1,*,3.16,RPL24,ENSG00000114391,28
226p1,sgAQR,3,102000000,102000000,1,*,3.26,RPL24,ENSG00000114391,29
226p1,sgAQR,3,102000000,102000000,2,*,3.41,RPL24,ENSG00000114391,30
226p1,sgAQR,3,102000000,102000000,2,*,3.41,RPL24,ENSG00000114391,30
226p1,sgAQR,3,102000000,102000000,1,*,3.43,RPL24,ENSG00000114391,31
226p1,sgAQR,3,102000000,102000000,2,*,3.47,RPL24,ENSG00000114391,32
226p1,sgAQR,3,102000000,102000000,2,*,3.47,RPL24,ENSG00000114391,32
226p1,sgAQR,3,102000000,102000000,1,*,3.5,RPL24,ENSG00000114391,33
226p1,sgAQR,3,102000000,102000000,1,*,3.5,RPL24,ENSG00000114391,34
226p1,sgAQR,3,102000000,102000000,1,*,3.55,RPL24,ENSG00000114391,35
226p1,sgAQR,3,102000000,102000000,1,*,3.64,RPL24,ENSG00000114391,36
226p1,sgAQR,3,102000000,102000000,1,*,3.72,RPL24,ENSG00000114391,37
226p1,sgAQR,3,102000000,102000000,3,*,3.77,RPL24,ENSG00000114391,38
226p1,sgAQR,3,102000000,102000000,3,*,3.77,RPL24,ENSG00000114391,38
226p1,sgAQR,3,102000000,102000000,3,*,3.77,RPL24,ENSG00000114391,38
226p1,sgAQR,3,102000000,102000000,1,*,3.77,RPL24,ENSG00000114391,39
226p1,sgAQR,3,102000000,102000000,1,*,3.94,RPL24,ENSG00000114391,40
226p1,sgAQR,3,102000000,102000000,1,*,3.86,RPL24,ENSG00000114391,41
226p1,sgAQR,3,102000000,102000000,1,*,3.97,RPL24,ENSG00000114391,42
226p1,sgAQR,3,102000000,102000000,1,*,4,RPL24,ENSG00000114391,43
226p1,sgAQR,3,102000000,102000000,1,*,3.54,RPL24,ENSG00000114391,44
226p1,sgAQR,3,102000000,102000000,2,*,3.48,RPL24,ENSG00000114391,45
226p1,sgAQR,3,102000000,102000000,2,*,3.48,RPL24,ENSG00000114391,45
226p1,sgAQR,3,102000000,102000000,1,*,3.49,RPL24,ENSG00000114391,46
226p1,sgAQR,3,102000000,102000000,1,*,3.51,RPL24,ENSG00000114391,47
226p1,sgAQR,3,102000000,102000000,1,*,3.53,RPL24,ENSG00000114391,48
226p1,sgAQR,3,102000000,102000000,1,*,3.57,RPL24,ENSG00000114391,49
226p1,sgAQR,3,102000000,102000000,1,*,3.52,RPL24,ENSG00000114391,50
226p1,sgAQR,3,102000000,102000000,1,*,3.51,RPL24,ENSG00000114391,51
