gene_name,lfc_ctrl,lfc,compare
EGR1,1.659,7.555,"GCN1 sgRNA 1,2"
FOS,1.829,6.196,"GCN1 sgRNA 1,2"
DUSP1,1.623,5.143,"GCN1 sgRNA 1,2"
ATF3,1.273,5.117,"GCN1 sgRNA 1,2"
IER2,1.731,4.96,"GCN1 sgRNA 1,2"
JUN,2.175,4.665,"GCN1 sgRNA 1,2"
DUSP8,2.011,3.583,"GCN1 sgRNA 1,2"
DUSP10,2.111,3.571,"GCN1 sgRNA 1,2"
CHGA,1.195,3.431,"GCN1 sgRNA 1,2"
TYW1B,2.578,3.2,"GCN1 sgRNA 1,2"
DHRS2,2.321,3.176,"GCN1 sgRNA 1,2"
HES1,2.693,3.16,"GCN1 sgRNA 1,2"
TIPARP,2.836,3.13,"GCN1 sgRNA 1,2"
JUND,1.32,3.128,"GCN1 sgRNA 1,2"
GPR50,-0.308,3.121,"GCN1 sgRNA 1,2"
TXNIP,2.952,3.019,"GCN1 sgRNA 1,2"
H1-0,2.002,2.901,"GCN1 sgRNA 1,2"
ZNF416,2.559,2.849,"GCN1 sgRNA 1,2"
H2AC6,2.425,2.788,"GCN1 sgRNA 1,2"
TEX14,1.457,2.746,"GCN1 sgRNA 1,2"
CCN1,1.672,2.714,"GCN1 sgRNA 1,2"
ARC,-0.275,2.705,"GCN1 sgRNA 1,2"
DUSP4,1.968,2.697,"GCN1 sgRNA 1,2"
GADD45B,1.694,2.68,"GCN1 sgRNA 1,2"
PPP1R15A,1.01,2.643,"GCN1 sgRNA 1,2"
AMOTL2,1.656,2.515,"GCN1 sgRNA 1,2"
FOSB,0.441,2.515,"GCN1 sgRNA 1,2"
PMAIP1,1.654,2.514,"GCN1 sgRNA 1,2"
RHOB,0.457,2.481,"GCN1 sgRNA 1,2"
KLF6,1.911,2.423,"GCN1 sgRNA 1,2"
SPRED2,0.476,2.378,"GCN1 sgRNA 1,2"
BTG1,0.848,2.329,"GCN1 sgRNA 1,2"
DUSP16,0.894,2.311,"GCN1 sgRNA 1,2"
H3C6,2.006,2.304,"GCN1 sgRNA 1,2"
RASSF1,1.713,2.278,"GCN1 sgRNA 1,2"
MAP3K14,1.697,2.257,"GCN1 sgRNA 1,2"
LBH,-0.011,2.242,"GCN1 sgRNA 1,2"
CREB5,0.871,2.213,"GCN1 sgRNA 1,2"
CYP27B1,1.765,2.211,"GCN1 sgRNA 1,2"
ZNF16,2.432,2.193,"GCN1 sgRNA 1,2"
DEPP1,0.643,2.127,"GCN1 sgRNA 1,2"
LETM2,1.68,2.099,"GCN1 sgRNA 1,2"
ZNF408,1.779,2.09,"GCN1 sgRNA 1,2"
H2BC11,0.543,2.065,"GCN1 sgRNA 1,2"
MXD1,0.585,2.047,"GCN1 sgRNA 1,2"
ID3,1.343,2.042,"GCN1 sgRNA 1,2"
ADPRM,1.885,2.036,"GCN1 sgRNA 1,2"
SNAI2,1.516,2.025,"GCN1 sgRNA 1,2"
BCL6,0.219,2.015,"GCN1 sgRNA 1,2"
LRRC37A2,2.006,2.01,"GCN1 sgRNA 1,2"
ZNF79,1.545,2.002,"GCN1 sgRNA 1,2"
ZNF425,2.469,1.998,"GCN1 sgRNA 1,2"
CDKN2AIP,2.101,1.994,"GCN1 sgRNA 1,2"
H2BC5,0.653,1.935,"GCN1 sgRNA 1,2"
H2AW,0.843,1.934,"GCN1 sgRNA 1,2"
KLF10,2.699,1.933,"GCN1 sgRNA 1,2"
LPXN,2.726,1.932,"GCN1 sgRNA 1,2"
SERTAD1,0.542,1.932,"GCN1 sgRNA 1,2"
ZBTB10,0.895,1.928,"GCN1 sgRNA 1,2"
SOX4,0.954,1.91,"GCN1 sgRNA 1,2"
ZNF597,1.124,1.902,"GCN1 sgRNA 1,2"
H2BU1,0.786,1.893,"GCN1 sgRNA 1,2"
EPC1,1.925,1.881,"GCN1 sgRNA 1,2"
FAM193A,1.432,1.874,"GCN1 sgRNA 1,2"
SLC9A8,1.857,1.874,"GCN1 sgRNA 1,2"
ZNF764,0.88,1.853,"GCN1 sgRNA 1,2"
GADD45A,1.469,1.833,"GCN1 sgRNA 1,2"
POMZP3,1.924,1.83,"GCN1 sgRNA 1,2"
WHAMM,1.75,1.819,"GCN1 sgRNA 1,2"
ZNF766,1.629,1.818,"GCN1 sgRNA 1,2"
TMPRSS2,1.92,1.816,"GCN1 sgRNA 1,2"
H2BC21,0.452,1.809,"GCN1 sgRNA 1,2"
CCDC174,1.579,1.808,"GCN1 sgRNA 1,2"
CSRNP1,1.389,1.806,"GCN1 sgRNA 1,2"
KIF24,1.76,1.805,"GCN1 sgRNA 1,2"
ZC3H6,1.983,1.803,"GCN1 sgRNA 1,2"
RIBC2,1.838,1.801,"GCN1 sgRNA 1,2"
MCL1,0.529,1.795,"GCN1 sgRNA 1,2"
FOSL2,0.902,1.784,"GCN1 sgRNA 1,2"
ZNF551,1.835,1.78,"GCN1 sgRNA 1,2"
RASGEF1B,1.448,1.778,"GCN1 sgRNA 1,2"
MRM1,1.902,1.777,"GCN1 sgRNA 1,2"
THUMPD2,1.768,1.771,"GCN1 sgRNA 1,2"
OVGP1,1.312,1.768,"GCN1 sgRNA 1,2"
H1-2,0.275,1.748,"GCN1 sgRNA 1,2"
GATA3,2.32,1.748,"GCN1 sgRNA 1,2"
