,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,,Unkn,,,23.5944535435181,23.5944535435181,0,NaN,NaN,NaN,0,72,
,A02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,72,
,A03,SYBR,,Unkn,,,22.3027493152983,22.3027493152983,0,NaN,NaN,NaN,0,72,
,A04,SYBR,,Unkn,,,25.2226323846809,25.2226323846809,0,NaN,NaN,NaN,0,72,
,A05,SYBR,,Unkn,,,22.3330825431245,22.3330825431245,0,NaN,NaN,NaN,0,72,
,A06,SYBR,,Unkn,,,22.3278234182157,22.3278234182157,0,NaN,NaN,NaN,0,72,
,A07,SYBR,,Unkn,,,21.751166134654,21.751166134654,0,NaN,NaN,NaN,0,72,
,A08,SYBR,,Unkn,,,21.2851584524611,21.2851584524611,0,NaN,NaN,NaN,0,72,
,A09,SYBR,,Unkn,,,22.3646439039362,22.3646439039362,0,NaN,NaN,NaN,0,72,
,A10,SYBR,,Unkn,,,21.8940795522183,21.8940795522183,0,NaN,NaN,NaN,0,72,
,A11,SYBR,,Unkn,,,21.8967002125596,21.8967002125596,0,NaN,NaN,NaN,0,72,
,A12,SYBR,,Unkn,,,22.8277066889359,22.8277066889359,0,NaN,NaN,NaN,0,72,
,B01,SYBR,,Unkn,,,23.503580635013,23.503580635013,0,NaN,NaN,NaN,0,72,
,B02,SYBR,,Unkn,,,22.0078491634623,22.0078491634623,0,NaN,NaN,NaN,0,72,
,B03,SYBR,,Unkn,,,22.4263889844696,22.4263889844696,0,NaN,NaN,NaN,0,72,
,B04,SYBR,,Unkn,,,25.2815792130931,25.2815792130931,0,NaN,NaN,NaN,0,72,
,B05,SYBR,,Unkn,,,22.4403022277783,22.4403022277783,0,NaN,NaN,NaN,0,72,
,B06,SYBR,,Unkn,,,22.4777643784147,22.4777643784147,0,NaN,NaN,NaN,0,72,
,B07,SYBR,,Unkn,,,21.8492977693863,21.8492977693863,0,NaN,NaN,NaN,0,72,
,B08,SYBR,,Unkn,,,21.3325382539229,21.3325382539229,0,NaN,NaN,NaN,0,72,
,B09,SYBR,,Unkn,,,22.4359586107323,22.4359586107323,0,NaN,NaN,NaN,0,72,
,B10,SYBR,,Unkn,,,22.1582498223068,22.1582498223068,0,NaN,NaN,NaN,0,72,
,B11,SYBR,,Unkn,,,21.6783310362179,21.6783310362179,0,NaN,NaN,NaN,0,72,
,B12,SYBR,,Unkn,,,22.616093697946,22.616093697946,0,NaN,NaN,NaN,0,72,
,C01,SYBR,,Unkn,,,23.7255694051293,23.7255694051293,0,NaN,NaN,NaN,0,72,
,C02,SYBR,,Unkn,,,21.9604326004847,21.9604326004847,0,NaN,NaN,NaN,0,72,
,C03,SYBR,,Unkn,,,22.2892212375862,22.2892212375862,0,NaN,NaN,NaN,0,72,
,C04,SYBR,,Unkn,,,25.145638516487,25.145638516487,0,NaN,NaN,NaN,0,72,
,C05,SYBR,,Unkn,,,22.2901836267476,22.2901836267476,0,NaN,NaN,NaN,0,72,
,C06,SYBR,,Unkn,,,22.2943305683469,22.2943305683469,0,NaN,NaN,NaN,0,72,
,C07,SYBR,,Unkn,,,21.8845816603484,21.8845816603484,0,NaN,NaN,NaN,0,72,
,C08,SYBR,,Unkn,,,21.3245203716901,21.3245203716901,0,NaN,NaN,NaN,0,72,
,C09,SYBR,,Unkn,,,21.3243112704743,21.3243112704743,0,NaN,NaN,NaN,0,72,
,C10,SYBR,,Unkn,,,21.6008579766072,21.6008579766072,0,NaN,NaN,NaN,0,72,
,C11,SYBR,,Unkn,,,21.5581575854729,21.5581575854729,0,NaN,NaN,NaN,0,72,
,C12,SYBR,,Unkn,,,22.1377714280884,22.1377714280884,0,NaN,NaN,NaN,0,72,
,D01,SYBR,,Unkn,,,22.3618796536522,22.3618796536522,0,NaN,NaN,NaN,0,72,
,D02,SYBR,,Unkn,,,21.9498022721002,21.9498022721002,0,NaN,NaN,NaN,0,72,
,D03,SYBR,,Unkn,,,21.7102951934978,21.7102951934978,0,NaN,NaN,NaN,0,72,
,D04,SYBR,,Unkn,,,22.5821586048541,22.5821586048541,0,NaN,NaN,NaN,0,72,
,D05,SYBR,,Unkn,,,21.534947855946,21.534947855946,0,NaN,NaN,NaN,0,72,
,D06,SYBR,,Unkn,,,21.6002607585225,21.6002607585225,0,NaN,NaN,NaN,0,72,
,D07,SYBR,,Unkn,,,21.5471235894059,21.5471235894059,0,NaN,NaN,NaN,0,72,
,D08,SYBR,,Unkn,,,22.2425270829411,22.2425270829411,0,NaN,NaN,NaN,0,72,
